Nombre,Telefono_Limpio,Fecha_Contacto,Estado
Confitería San José 2,59174349639,2026-03-03 11:47:52,Enviado
Milanezas de la Uyuni Snack Santa Rita,59144485585,2026-03-03 11:49:20,Fallido: Número no tiene WhatsApp
Academia de Taekwondo Athletic,59160760369,2026-03-03 11:50:55,Enviado
ACADEMIA BUSHIDO KAI,59175998918,2026-03-03 11:52:00,Enviado
Dance Studio Jazz - Walter Albarracín -,59144285537,2026-03-03 11:52:57,Fallido: Número no tiene WhatsApp
CENTRO DE ARTES MARCIALES COCHABAMBA,59170783981,2026-03-03 11:53:57,Enviado
Academia de artes marciales Yongshi,59170382587,2026-03-03 12:01:31,Enviado
Casa de Funerales Garnica,59178300069,2026-03-03 12:03:03,Enviado
Casa De Funerales Rosedal,5914020008,2026-03-03 12:04:59,Fallido: Número no tiene WhatsApp
LAS MISIONES Casa de Funerales,59161610652,2026-03-03 12:06:02,Enviado
Servicios Bolivar Salones Velatorio Bethel,59160349992,2026-03-03 12:08:22,Enviado
Funeraria Rivas,59175934111,2026-03-03 12:10:26,Enviado
Yo amo los zapatos Cochabamba-Bolivia,59179955793,2026-03-05 16:49:14,Enviado
Querencia Calzados,59144523344,2026-03-05 16:50:15,Fallido: Número no tiene WhatsApp
𝐓𝐢𝐞𝐧𝐝𝐚 𝐃𝐞 𝐂𝐚𝐥𝐳𝐚𝐝𝐨𝐬 𝐂𝐚𝐫𝐌𝐞𝐥,59179746585,2026-03-05 16:51:55,Enviado
ZOI Calzados,59174577717,2026-03-05 16:53:50,Enviado
PICCADILLY,59144512450,2026-03-05 16:55:05,Fallido: Número no tiene WhatsApp
Muebles Cabrera,59162635668,2026-03-05 16:56:57,Enviado
Vicenza Casa Muebles,59179396860,2026-03-05 16:59:04,Enviado
Muebleria Lara,59162701312,2026-03-05 17:08:54,Enviado
Multicenter / Cochabamba / Tienda Uyuni,59179958566,2026-03-05 17:10:52,Fallido: Número no tiene WhatsApp
"Muebles, Adornos, Lamparas y Alfombras",59167407700,2026-03-05 17:13:03,Enviado
CONCRETENSA,59169410255,2026-03-05 17:14:47,Enviado
Silex Santivañez,5914353452,2026-03-05 17:16:46,Fallido: Número no tiene WhatsApp
CORRALON BERMEJO S.R.L.,591543878421946,2026-03-05 17:18:42,Fallido: Número no tiene WhatsApp
CENTRO DE ORIENTACION GRAFICA,59171270728,2026-03-05 17:20:15,Enviado
Sheep Sublimacion,59175946661,2026-03-05 17:21:43,Enviado
TEXMOD Cochabamba,59177763186,2026-03-05 17:29:59,Enviado
IMAGINA ARTE,59144583244,2026-03-05 17:32:07,Fallido: Número no tiene WhatsApp
I-DENTIDAD,59144258503,2026-03-05 17:33:53,Fallido: Número no tiene WhatsApp
Pasteleria El Edén,59144256082,2026-03-05 17:35:49,Fallido: Número no tiene WhatsApp
EL PANERO,59165368888,2026-03-05 17:37:56,Enviado
"Panadería Zahína ""Av. Perú""",59144282542,2026-03-05 17:40:10,Fallido: Número no tiene WhatsApp
Panaderia Il Gatto,59177601819,2026-03-05 17:42:11,Enviado
La Bourbonería,59176900693,2026-03-05 17:43:37,Enviado
Café BCP Cochabamba,59162626271,2026-03-05 17:45:44,Enviado
Huayllani la Hacienda del té,59179366535,2026-03-05 17:51:30,Enviado
Modena Café,59144489097,2026-03-05 17:53:20,Fallido: Número no tiene WhatsApp
Interactiva -Marketing & Publicidad-,59144799585,2026-03-05 17:54:23,Fallido: Número no tiene WhatsApp
Advertising & Estrategic (A&E Publicidad),59170652570,2026-03-05 17:56:01,Enviado
Agencia Kris,59144287238,2026-03-05 17:57:32,Enviado
InnovaT Marketing Digital,59165396170,2026-03-05 17:59:36,Enviado
La Esquina del Acai,59167309045,2026-03-05 18:03:28,Enviado
Açaí Golden,59179368039,2026-03-05 18:05:19,Enviado
Restaurante Criollo y Grill La Doce,59170720382,2026-03-03 18:27:26,Enviado
CHURRASQUERÍA EL ARRIERO,59167305565,2026-03-03 18:28:31,Enviado
Roast & Roll,59165397635,2026-03-03 18:30:19,Fallido: Número no tiene WhatsApp
Churrasqueria Dobles,59162711091,2026-03-03 18:31:25,Enviado
Churrasquería Rodeo Norte,59172812413,2026-03-03 18:32:55,Enviado
Arkhaios Crossfit,59172728490,2026-03-03 18:34:13,Enviado
Bulls Gym,59165374937,2026-03-03 18:40:20,Enviado
Resilientfit,59172766600,2026-03-03 18:42:07,Enviado
Lift_Box_Training,59175943042,2026-03-03 18:44:15,Fallido: Número no tiene WhatsApp
The Fit Bros,59176129977,2026-03-03 18:45:49,Enviado
Club Victor Muriel,59144524300,2026-03-03 18:47:16,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
GADO'S Fitness Gym,59162734563,2026-03-03 18:48:17,Enviado
Raquet Frontón el Sauce/Olivos,59144243009,2026-03-03 18:49:34,Fallido: Número no tiene WhatsApp
Templo.bol,59172209791,2026-03-03 18:51:40,Enviado
Training Club,59174568928,2026-03-03 18:59:56,Enviado
Guiza salón para varón,59177447152,2026-03-03 19:01:49,Enviado
Peluqueria WoW,59170372289,2026-03-03 19:03:45,Enviado
"""Je suis intercoiffeur"" Alta peluquería",59176407977,2026-03-03 19:05:40,Enviado
Dumar hair studio,59170756767,2026-03-03 19:06:41,Enviado
Grego Salon de Belleza&Barbería,59144421231,2026-03-03 19:12:18,Fallido: Número no tiene WhatsApp
Parqueo Bazan,59172288283,2026-03-03 19:21:24,Enviado
PARQUEO TERMINAL SUR,59176432636,2026-03-03 19:22:24,Fallido: Número no tiene WhatsApp
Parqueo Copacabana,59178959094,2026-03-03 19:23:52,Enviado
Parqueo Las Palmas,59175977545,2026-03-03 19:25:34,Enviado
PARQUEOS,59177783037,2026-03-03 19:27:09,Enviado
E - Lashes Extensiones De Pestañas,59173645088,2026-03-03 19:28:56,Enviado
Apoyo Académico,59177963054,2026-03-04 11:47:30,Enviado
Instituto Élite,59165771335,2026-03-04 11:48:40,Enviado
CEMSE CBBA,59144425590,2026-03-04 11:50:42,Fallido: Número no tiene WhatsApp
Tutoria de Nivelacion,59165163691,2026-03-04 11:52:45,Enviado
Cursos de Apoyo escolar - Matematicas y lenguaje,59170388162,2026-03-04 11:54:50,Enviado
SUCULENTOS BY MONI'S,59170790931,2026-03-04 11:56:59,Enviado
Cinco&Medio,59167566606,2026-03-04 12:04:18,Enviado
bambu arte pasteleria,59176421099,2026-03-04 12:06:30,Enviado
Sophie Reposteria,59176428534,2026-03-04 12:08:13,Fallido: Número no tiene WhatsApp
"Helados artesanales ""SHAYLA""",59167482802,2026-03-04 12:09:55,Enviado
Pachamé brasas,59174374978,2026-03-04 12:11:39,Enviado
Sushi Town,59176422747,2026-03-04 12:13:29,Enviado
SANSEI Oscar Kotoriy Restaurante,59170725600,2026-03-04 12:19:44,Enviado
KAME HOUSE Ramen y Sushi,59160703589,2026-03-04 12:20:47,Enviado
GIU SIN,59165772232,2026-03-04 12:22:17,Enviado
Consultorio de Salud Mental Cochabamba Bolivia,59179329761,2026-03-04 12:24:30,Enviado
Atención psicológica M. Angélica Fernandez Gantier,59169525647,2026-03-04 12:26:23,Enviado
CLÍNICA CLUB VIDA PLENA - Equilibrio y bienestar emocional,59162733929,2026-03-04 12:35:32,Enviado
Saul W. Mareño López,59165350696,2026-03-04 12:37:37,Enviado
Paso a paso centro de atención psicológica,59170754545,2026-03-04 12:39:15,Enviado
SEAD,59174333495,2026-03-04 15:44:09,Enviado
ALARMAS ROCH,59170380266,2026-03-04 15:46:13,Fallido: Número no tiene WhatsApp
Soluciones Inteligentes . Sistema de seguridad,59174364880,2026-03-04 15:48:22,Enviado
DEFCON 3 Monitoreo de Alarmas 24/7,59170304935,2026-03-04 15:49:51,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
ETZEL-RA S.R.L Seguridad y Comunicaciones,59170779916,2026-03-04 15:51:19,Enviado
Natural y gourmet Eventos y Catering,59172202086,2026-03-04 15:53:23,Enviado
La Tranquera alimentos saludables,59172200835,2026-03-04 15:55:19,Enviado
CUCINA Catering & Eventos,59177915999,2026-03-04 16:05:06,Enviado
Equilibrio-ComidaSana,59165765048,2026-03-04 16:06:52,Enviado
CATERING L.K. - CATERING COCHABAMBA,59175977998,2026-03-04 16:08:47,Enviado
Iara Riva | Beauty Studio,59167475417,2026-03-04 16:11:00,Enviado
Blush Beauty Station,59174560501,2026-03-04 16:13:05,Enviado
Mia Secret - Colorina Cochabamba,59176771006,2026-03-04 16:22:07,Enviado
DALA Makeup Studio & Store,59177453559,2026-03-04 16:23:23,Enviado
VERSATIL Cosmetic,59160745464,2026-03-04 16:24:34,Enviado
Cevicheria SOMOS PERÚ,59162619183,2026-03-04 16:26:32,Enviado
Cevicheria Big Fish,59169438555,2026-03-04 16:28:45,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
Los Pacusitos,59173755126,2026-03-04 16:30:30,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
Cevichería El rincón del cabezón Martín,59160734993,2026-03-04 16:32:02,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
El Cevichón de Santa Bárbara,59167596917,2026-03-04 16:33:14,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
iHome Servicios Inmobiliarios,59178370880,2026-03-04 16:35:03,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
"DEPARTAMENTOS EN PREVENTA COCHABAMBA, BOLIVIA",59161681281,2026-03-04 16:36:17,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Remax Millennium,59170300230,2026-03-04 16:37:50,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Crediinmuebles,59161682600,2026-03-04 16:39:43,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Solo Inmuebles,59163837744,2026-03-04 16:41:03,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Oblitas Hotel,59144543704,2026-03-04 16:42:32,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
El Pueblito Hostel,59177204743,2026-03-04 16:44:26,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Hostel Rest House,59179785867,2026-03-04 16:46:22,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Hostal Arevalo,59170721137,2026-03-04 16:47:40,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Hostal Jordan,59144225010,2026-03-04 16:49:20,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Optica Salamanca,59144512075,2026-03-04 16:50:17,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Óptica Visión,59144223615,2026-03-04 16:52:16,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Grupo La Óptica - Cochabamba,59175627333,2026-03-04 16:53:59,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Centro Óptico Viscarra,5914224882,2026-03-04 16:55:19,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
optica LOS ANDES,59144662050,2026-03-04 16:56:43,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
"Libreria Bazar ""ABC""",59144286878,2026-03-04 16:58:39,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
El Bazar Digital,59161628833,2026-03-04 16:59:53,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
"Bazar ""Navi Carcaje""",59168444828,2026-03-04 17:00:56,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Librería M&S bazar y regalos,59172262847,2026-03-04 17:02:47,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
"Librería, regalos y bazar ""Carolina""",59168301396,2026-03-04 17:03:58,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
Traduzzer,59170720057,2026-03-04 18:13:49,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
