Fecha_Envio,Nombre,Telefono,Categoria,Estado
2026-03-03 19:12:18,Grego Salon de Belleza&Barbería,59144421231,Barbería,Fallido: Número no tiene WhatsApp
2026-03-03 19:21:24,Parqueo Bazan,59172288283,Aparcamiento,Enviado
2026-03-03 19:22:24,PARQUEO TERMINAL SUR,59176432636,Aparcamiento público,Fallido: Número no tiene WhatsApp
2026-03-03 19:23:52,Parqueo Copacabana,59178959094,Aparcamiento,Enviado
2026-03-03 19:25:34,Parqueo Las Palmas,59175977545,Aparcamiento,Enviado
2026-03-03 19:27:09,PARQUEOS,59177783037,Aparcamiento,Enviado
2026-03-03 19:28:56,E - Lashes Extensiones De Pestañas,59173645088,Centro de estética,Enviado
2026-03-04 11:47:30,Apoyo Académico,59177963054,Asesor educativo,Enviado
2026-03-04 11:48:40,Instituto Élite,59165771335,Centro educativo,Enviado
2026-03-04 11:50:42,CEMSE CBBA,59144425590,Asesor educativo,Fallido: Número no tiene WhatsApp
2026-03-04 11:52:45,Tutoria de Nivelacion,59165163691,Centro de estudios,Enviado
2026-03-04 11:54:50,Cursos de Apoyo escolar - Matematicas y lenguaje,59170388162,Institución educativa,Enviado
2026-03-04 11:56:59,SUCULENTOS BY MONI'S,59170790931,Bufé de dulces y repostería,Enviado
2026-03-04 12:04:18,Cinco&Medio,59167566606,Cafetería,Enviado
2026-03-04 12:06:30,bambu arte pasteleria,59176421099,Pastelería,Enviado
2026-03-04 12:08:13,Sophie Reposteria,59176428534,Tienda de postres,Fallido: Número no tiene WhatsApp
2026-03-04 12:09:55,"Helados artesanales ""SHAYLA""",59167482802,Heladería,Enviado
2026-03-04 12:11:39,Pachamé brasas,59174374978,Restaurante,Enviado
2026-03-04 12:13:29,Sushi Town,59176422747,Restaurante de sushi,Enviado
2026-03-04 12:19:44,SANSEI Oscar Kotoriy Restaurante,59170725600,Restaurante,Enviado
2026-03-04 12:20:47,KAME HOUSE Ramen y Sushi,59160703589,Restaurante,Enviado
2026-03-04 12:22:17,GIU SIN,59165772232,Restaurante japonés,Enviado
2026-03-04 12:24:30,Consultorio de Salud Mental Cochabamba Bolivia,59179329761,Servicio de salud mental,Enviado
2026-03-04 12:26:23,Atención psicológica M. Angélica Fernandez Gantier,59169525647,Psicólogo,Enviado
2026-03-04 12:35:32,CLÍNICA CLUB VIDA PLENA - Equilibrio y bienestar emocional,59162733929,Psicólogo,Enviado
2026-03-04 12:37:37,Saul W. Mareño López,59165350696,Psicólogo,Enviado
2026-03-04 12:39:15,Paso a paso centro de atención psicológica,59170754545,Psicólogo,Enviado
2026-03-04 15:44:09,SEAD,59174333495,Servicio de guardias de seguridad,Enviado
2026-03-04 15:46:13,ALARMAS ROCH,59170380266,Proveedor de alarmas de coche,Fallido: Número no tiene WhatsApp
2026-03-04 15:48:22,Soluciones Inteligentes . Sistema de seguridad,59174364880,Servicio de guardias de seguridad,Enviado
2026-03-04 15:49:51,DEFCON 3 Monitoreo de Alarmas 24/7,59170304935,Servicio de guardias de seguridad,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
2026-03-04 15:51:19,ETZEL-RA S.R.L Seguridad y Comunicaciones,59170779916,Proveedor de sistemas de seguridad,Enviado
2026-03-04 15:53:23,Natural y gourmet Eventos y Catering,59172202086,Servicio de catering,Enviado
2026-03-04 15:55:19,La Tranquera alimentos saludables,59172200835,Servicio de catering,Enviado
2026-03-04 16:05:06,CUCINA Catering & Eventos,59177915999,Organizador de eventos,Enviado
2026-03-04 16:06:52,Equilibrio-ComidaSana,59165765048,Servicio de catering,Enviado
2026-03-04 16:08:47,CATERING L.K. - CATERING COCHABAMBA,59175977998,Servicio de catering,Enviado
2026-03-04 16:11:00,Iara Riva | Beauty Studio,59167475417,Centro de estética,Enviado
2026-03-04 16:13:05,Blush Beauty Station,59174560501,Tienda de cosméticos,Enviado
2026-03-04 16:22:07,Mia Secret - Colorina Cochabamba,59176771006,Tienda de cosméticos,Enviado
2026-03-04 16:23:23,DALA Makeup Studio & Store,59177453559,Centro de estética,Enviado
2026-03-04 16:24:34,VERSATIL Cosmetic,59160745464,Tienda de cosméticos,Enviado
2026-03-04 16:26:32,Cevicheria SOMOS PERÚ,59162619183,Restaurante,Enviado
2026-03-04 16:28:45,Cevicheria Big Fish,59169438555,Restaurante,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
2026-03-04 16:30:30,Los Pacusitos,59173755126,Restaurante,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
2026-03-04 16:32:02,Cevichería El rincón del cabezón Martín,59160734993,Restaurante de fish & chips,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:33:14,El Cevichón de Santa Bárbara,59167596917,Restaurante,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:35:03,iHome Servicios Inmobiliarios,59178370880,Agencia inmobiliaria,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:36:17,"DEPARTAMENTOS EN PREVENTA COCHABAMBA, BOLIVIA",59161681281,Agencia de bienes inmuebles comerciales,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:37:50,Remax Millennium,59170300230,Agencia inmobiliaria,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:39:43,Crediinmuebles,59161682600,Agencia inmobiliaria,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:41:03,Solo Inmuebles,59163837744,Agencia inmobiliaria,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:42:32,Oblitas Hotel,59144543704,,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:44:26,El Pueblito Hostel,59177204743,,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:46:22,Hostel Rest House,59179785867,,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:47:40,Hostal Arevalo,59170721137,,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:49:20,Hostal Jordan,59144225010,,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:50:17,Optica Salamanca,59144512075,Óptica,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:52:16,Óptica Visión,59144223615,Óptica,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:53:59,Grupo La Óptica - Cochabamba,59175627333,Óptica,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:55:19,Centro Óptico Viscarra,5914224882,Óptica,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:56:43,optica LOS ANDES,59144662050,Óptica,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:58:39,"Libreria Bazar ""ABC""",59144286878,Librería,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 16:59:53,El Bazar Digital,59161628833,Chatarrería,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 17:00:56,"Bazar ""Navi Carcaje""",59168444828,Tienda de cubertería,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 17:02:47,Librería M&S bazar y regalos,59172262847,Librería,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 17:03:58,"Librería, regalos y bazar ""Carolina""",59168301396,Librería,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
2026-03-04 18:13:49,Traduzzer,59170720057,Traductor,"Fallido: Error inesperado: Page.goto: Target page, context or browser has been closed"
